"Date","Price","Open","High","Low","Vol.","Change %"
"24-10-2023","1,949.00","1,949.00","1,949.00","1,949.00","","-3.37%"
"23-10-2023","2,017.00","2,017.00","2,017.00","2,017.00","","-1.42%"
"20-10-2023","2,046.00","2,046.00","2,046.00","2,046.00","","-1.21%"
"19-10-2023","2,071.00","2,071.00","2,071.00","2,071.00","","-1.62%"
"18-10-2023","2,105.00","2,105.00","2,105.00","2,105.00","","2.28%"
"17-10-2023","2,058.00","2,058.00","2,058.00","2,058.00","","4.36%"
"16-10-2023","1,972.00","1,972.00","1,972.00","1,972.00","","1.39%"
"13-10-2023","1,945.00","1,945.00","1,945.00","1,945.00","","0.52%"
"12-10-2023","1,935.00","1,935.00","1,935.00","1,935.00","","-0.67%"
"11-10-2023","1,948.00","1,948.00","1,948.00","1,948.00","","-1.77%"
"10-10-2023","1,983.00","1,983.00","1,983.00","1,983.00","","-0.40%"
"09-10-2023","1,991.00","1,991.00","1,991.00","1,991.00","","3.21%"
"06-10-2023","1,929.00","1,929.00","1,929.00","1,929.00","","5.58%"
"05-10-2023","1,827.00","1,827.00","1,827.00","1,827.00","","2.76%"
"04-10-2023","1,778.00","1,778.00","1,778.00","1,778.00","","-0.11%"
"03-10-2023","1,780.00","1,780.00","1,780.00","1,780.00","","2.48%"
"02-10-2023","1,737.00","1,737.00","1,737.00","1,737.00","","2.12%"
"29-09-2023","1,701.00","1,701.00","1,701.00","1,701.00","","-0.87%"
"28-09-2023","1,716.00","1,716.00","1,716.00","1,716.00","","-2.05%"
"27-09-2023","1,752.00","1,752.00","1,752.00","1,752.00","","3.42%"
"26-09-2023","1,694.00","1,694.00","1,694.00","1,694.00","","4.96%"
"25-09-2023","1,614.00","1,614.00","1,614.00","1,614.00","","1.32%"
"22-09-2023","1,593.00","1,593.00","1,593.00","1,593.00","","1.53%"
"21-09-2023","1,569.00","1,569.00","1,569.00","1,569.00","","-0.95%"
"20-09-2023","1,584.00","1,584.00","1,584.00","1,584.00","","3.80%"
"19-09-2023","1,526.00","1,526.00","1,526.00","1,526.00","","6.05%"
"18-09-2023","1,439.00","1,439.00","1,439.00","1,439.00","","4.20%"
"15-09-2023","1,381.00","1,381.00","1,381.00","1,381.00","","3.06%"
"14-09-2023","1,340.00","1,340.00","1,340.00","1,340.00","","3.88%"
"13-09-2023","1,290.00","1,290.00","1,290.00","1,290.00","","4.45%"
"12-09-2023","1,235.00","1,235.00","1,235.00","1,235.00","","2.15%"
"11-09-2023","1,209.00","1,209.00","1,209.00","1,209.00","","1.94%"
"08-09-2023","1,186.00","1,186.00","1,186.00","1,186.00","","3.94%"
"07-09-2023","1,141.00","1,141.00","1,141.00","1,141.00","","5.55%"
"06-09-2023","1,081.00","1,081.00","1,081.00","1,081.00","","1.69%"
"05-09-2023","1,063.00","1,063.00","1,063.00","1,063.00","","-1.85%"
"04-09-2023","1,083.00","1,083.00","1,083.00","1,083.00","","1.69%"
"01-09-2023","1,065.00","1,065.00","1,065.00","1,065.00","","-1.93%"
"31-08-2023","1,086.00","1,086.00","1,086.00","1,086.00","","-0.73%"
"30-08-2023","1,094.00","1,094.00","1,094.00","1,094.00","","-1.17%"
"29-08-2023","1,107.00","1,107.00","1,107.00","1,107.00","","2.50%"
"25-08-2023","1,080.00","1,080.00","1,080.00","1,080.00","","-2.70%"
"24-08-2023","1,110.00","1,110.00","1,110.00","1,110.00","","-3.56%"
"23-08-2023","1,151.00","1,151.00","1,151.00","1,151.00","","-3.60%"
"22-08-2023","1,194.00","1,194.00","1,194.00","1,194.00","","-2.37%"
"21-08-2023","1,223.00","1,223.00","1,223.00","1,223.00","","-1.13%"
"18-08-2023","1,237.00","1,237.00","1,237.00","1,237.00","","-0.80%"
"17-08-2023","1,247.00","1,247.00","1,247.00","1,247.00","","1.14%"
"16-08-2023","1,233.00","1,233.00","1,233.00","1,233.00","","5.75%"
"15-08-2023","1,166.00","1,166.00","1,166.00","1,166.00","","2.73%"
"14-08-2023","1,135.00","1,135.00","1,135.00","1,135.00","","0.53%"
"11-08-2023","1,129.00","1,129.00","1,129.00","1,129.00","","-0.70%"
"10-08-2023","1,137.00","1,137.00","1,137.00","1,137.00","","-0.61%"
"09-08-2023","1,144.00","1,144.00","1,144.00","1,144.00","","0.18%"
"08-08-2023","1,142.00","1,142.00","1,142.00","1,142.00","","-0.26%"
"07-08-2023","1,145.00","1,145.00","1,145.00","1,145.00","","0.79%"
