"Date","Price","Open","High","Low","Vol.","Change %"
"26-03-2026","2,014.00","2,014.00","2,014.00","2,014.00","","0.65%"
"25-03-2026","2,001.00","2,001.00","2,001.00","2,001.00","","0.60%"
"24-03-2026","1,989.00","1,989.00","1,989.00","1,989.00","","-2.36%"
"23-03-2026","2,037.00","2,037.00","2,037.00","2,037.00","","-0.92%"
"20-03-2026","2,056.00","2,056.00","2,056.00","2,056.00","","-0.05%"
"19-03-2026","2,057.00","2,057.00","2,057.00","2,057.00","","-0.34%"
"18-03-2026","2,064.00","2,064.00","2,064.00","2,064.00","","1.98%"
"17-03-2026","2,024.00","2,024.00","2,024.00","2,024.00","","-0.69%"
"16-03-2026","2,038.00","2,038.00","2,038.00","2,038.00","","0.49%"
"13-03-2026","2,028.00","2,028.00","2,028.00","2,028.00","","2.84%"
"12-03-2026","1,972.00","1,972.00","1,972.00","1,972.00","","2.39%"
"11-03-2026","1,926.00","1,926.00","1,926.00","1,926.00","","0.36%"
"10-03-2026","1,919.00","1,919.00","1,919.00","1,919.00","","-7.12%"
"09-03-2026","2,066.00","2,066.00","2,066.00","2,066.00","","2.79%"
"06-03-2026","2,010.00","2,010.00","2,010.00","2,010.00","","-5.99%"
"05-03-2026","2,138.00","2,138.00","2,138.00","2,138.00","","-4.25%"
"04-03-2026","2,233.00","2,233.00","2,233.00","2,233.00","","-0.40%"
"03-03-2026","2,242.00","2,242.00","2,242.00","2,242.00","","2.51%"
"02-03-2026","2,187.00","2,187.00","2,187.00","2,187.00","","2.20%"
"27-02-2026","2,140.00","2,140.00","2,140.00","2,140.00","","1.09%"
"26-02-2026","2,117.00","2,117.00","2,117.00","2,117.00","","-0.19%"
"25-02-2026","2,121.00","2,121.00","2,121.00","2,121.00","","-0.38%"
"24-02-2026","2,129.00","2,129.00","2,129.00","2,129.00","","0.80%"
"23-02-2026","2,112.00","2,112.00","2,112.00","2,112.00","","3.38%"
"20-02-2026","2,043.00","2,043.00","2,043.00","2,043.00","","1.19%"
"19-02-2026","2,019.00","2,019.00","2,019.00","2,019.00","","-2.13%"
"18-02-2026","2,063.00","2,063.00","2,063.00","2,063.00","","-1.53%"
"17-02-2026","2,095.00","2,095.00","2,095.00","2,095.00","","-0.24%"
"16-02-2026","2,100.00","2,100.00","2,100.00","2,100.00","","0.82%"
"13-02-2026","2,083.00","2,083.00","2,083.00","2,083.00","","-0.57%"
"12-02-2026","2,095.00","2,095.00","2,095.00","2,095.00","","7.00%"
"11-02-2026","1,958.00","1,958.00","1,958.00","1,958.00","","4.04%"
"10-02-2026","1,882.00","1,882.00","1,882.00","1,882.00","","-0.69%"
"09-02-2026","1,895.00","1,895.00","1,895.00","1,895.00","","-1.46%"
"06-02-2026","1,923.00","1,923.00","1,923.00","1,923.00","","-0.67%"
"05-02-2026","1,936.00","1,936.00","1,936.00","1,936.00","","-0.97%"
"04-02-2026","1,955.00","1,955.00","1,955.00","1,955.00","","-3.60%"
"03-02-2026","2,028.00","2,028.00","2,028.00","2,028.00","","-4.52%"
"02-02-2026","2,124.00","2,124.00","2,124.00","2,124.00","","-1.12%"
"30-01-2026","2,148.00","2,148.00","2,148.00","2,148.00","","7.29%"
"29-01-2026","2,002.00","2,002.00","2,002.00","2,002.00","","-0.69%"
"28-01-2026","2,016.00","2,016.00","2,016.00","2,016.00","","0.85%"
"27-01-2026","1,999.00","1,999.00","1,999.00","1,999.00","","12.30%"
"26-01-2026","1,780.00","1,780.00","1,780.00","1,780.00","","1.02%"
"23-01-2026","1,762.00","1,762.00","1,762.00","1,762.00","","0.06%"
"22-01-2026","1,761.00","1,761.00","1,761.00","1,761.00","","-2.33%"
"21-01-2026","1,803.00","1,803.00","1,803.00","1,803.00","","4.28%"
"20-01-2026","1,729.00","1,729.00","1,729.00","1,729.00","","4.79%"
"19-01-2026","1,650.00","1,650.00","1,650.00","1,650.00","","5.30%"
"16-01-2026","1,567.00","1,567.00","1,567.00","1,567.00","","2.28%"
"15-01-2026","1,532.00","1,532.00","1,532.00","1,532.00","","-2.17%"
"14-01-2026","1,566.00","1,566.00","1,566.00","1,566.00","","-2.61%"
"13-01-2026","1,608.00","1,608.00","1,608.00","1,608.00","","-3.07%"
"12-01-2026","1,659.00","1,659.00","1,659.00","1,659.00","","-1.72%"
"09-01-2026","1,688.00","1,688.00","1,688.00","1,688.00","","-1.75%"
"08-01-2026","1,718.00","1,718.00","1,718.00","1,718.00","","-3.27%"
"07-01-2026","1,776.00","1,776.00","1,776.00","1,776.00","","-2.95%"
"06-01-2026","1,830.00","1,830.00","1,830.00","1,830.00","","-1.13%"
"05-01-2026","1,851.00","1,851.00","1,851.00","1,851.00","","-1.65%"
"02-01-2026","1,882.00","1,882.00","1,882.00","1,882.00","","0.27%"
"24-12-2025","1,877.00","1,877.00","1,877.00","1,877.00","","-0.64%"
"23-12-2025","1,889.00","1,889.00","1,889.00","1,889.00","","-4.55%"
"22-12-2025","1,979.00","1,979.00","1,979.00","1,979.00","","-2.17%"
"19-12-2025","2,023.00","2,023.00","2,023.00","2,023.00","","-2.32%"
"18-12-2025","2,071.00","2,071.00","2,071.00","2,071.00","","-2.36%"
"17-12-2025","2,121.00","2,121.00","2,121.00","2,121.00","","-3.77%"
"16-12-2025","2,204.00","2,204.00","2,204.00","2,204.00","","0.50%"
"15-12-2025","2,193.00","2,193.00","2,193.00","2,193.00","","-0.54%"
"12-12-2025","2,205.00","2,205.00","2,205.00","2,205.00","","-3.88%"
"11-12-2025","2,294.00","2,294.00","2,294.00","2,294.00","","-5.60%"
"10-12-2025","2,430.00","2,430.00","2,430.00","2,430.00","","-4.97%"
"09-12-2025","2,557.00","2,557.00","2,557.00","2,557.00","","-5.09%"
"08-12-2025","2,694.00","2,694.00","2,694.00","2,694.00","","-1.21%"
"05-12-2025","2,727.00","2,727.00","2,727.00","2,727.00","","-3.09%"
"04-12-2025","2,814.00","2,814.00","2,814.00","2,814.00","","-1.09%"
"03-12-2025","2,845.00","2,845.00","2,845.00","2,845.00","","9.42%"
"02-12-2025","2,600.00","2,600.00","2,600.00","2,600.00","","0.66%"
"01-12-2025","2,583.00","2,583.00","2,583.00","2,583.00","","0.90%"
"28-11-2025","2,560.00","2,560.00","2,560.00","2,560.00","","3.23%"
